id,year,quarter,month,period,date,pr_number,description,department,contact_person,assign_to,budget,budget_q1,budget_q2,budget_q3,budget_q4,source_method,status,supplier_details,supplier_rating,local_content_percentage,pr_approval_scope_input,approving_authority,planned,target_date,actual_project_start,sla,note,review_approval_scope_eval,floating,tender_submit_by_vendor,evaluation,award_approval,contract_and_po,pr_approval_scope_input_pd,review_approval_scope_eval_pd,floating_pd,tender_submit_by_vendor_pd,evaluation_pd,award_approval_pd,contract_and_po_pd,total_days_pd,review_approval_scope_eval_ad,floating_ad,tender_submit_by_vendor_ad,evaluation_ad,award_approval_ad,contract_and_po_ad,total_days_ad,review_approval_scope_eval_pd_sla,floating_pd_sla,tender_submit_by_vendor_pd_sla,evaluation_pd_sla,award_approval_pd_sla,contract_and_po_pd_sla,review_approval_scope_eval_ad_sla,floating_ad_sla,tender_submit_by_vendor_ad_sla,evaluation_ad_sla,award_approval_ad_sla,contract_and_po_ad_sla,review_approval_scope_eval_diff_sla,floating_diff_sla,tender_submit_by_vendor_diff_sla,evaluation_diff_sla,award_approval_diff_sla,contract_and_po_diff_sla,project_status,risk,duration,last_status_date,status_duration,status_sla,status_co,escalate_48h,ceo_escalation,detailed_description,business_justification,expected_outcomes,impact_if_delayed,special_requirements,requester_name,requester_email,requester_department,project_manager,finance_approver,technical_reviewer,supplier_name,supplier_category,supplier_country,supplier_payment_terms,supplier_delivery_time,supplier_quality_score,supplier_past_performance,currency,exchange_rate,budget_category,cost_center,tax_amount,total_cost_with_tax,priority_level,urgency,category,subcategory,tags,created_date,submitted_date,first_approval_date,final_approval_date,rejection_count,rejection_reason,last_modified_by,last_modified_date,delivery_status,expected_delivery_date,actual_delivery_date,delivery_location,milestone_1_date,milestone_2_date,completion_percentage,compliance_status,required_documents,documents_submitted,compliance_officer,regulatory_framework,audit_trail_url,contract_type,contract_duration_months,warranty_period_months,renewal_date,legal_review_status,on_time_delivery,budget_variance_percentage,quality_rating,customer_satisfaction,issues_reported
11,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0207,Security Systems,Finance,David Wilson,Team D,63090.68,21571.31,14472.31,14928.7,12118.36,RFQ,Pending,Supplier-511,C,46.3,2024-01-04,VP Finance,No,2024-02-24,2024-01-14,92,Project note for PR-2024-0207,6.0,12.0,13.0,9.0,10.0,2.0,6.0,6.0,12.0,13.0,9.0,10.0,2.0,52.0,6.0,16.0,12.0,10.0,13.0,5.0,62.0,5.0,16.0,27.0,7.0,10.0,9.0,12.0,10.0,16.0,10.0,5.0,9.0,-6.0,6.0,-4.0,0.0,8.0,-4.0,,Medium,99,2024-02-09,25,25,Yes,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0289,Security Systems,Legal,John Smith,Team D,16589.14,5165.81,5375.41,4537.0,1510.92,RFP,Cancelled,Supplier-259,A+,66.6,2024-01-05,CFO,Yes,2024-03-15,2024-01-11,115,Project note for PR-2024-0289,4.0,14.0,13.0,5.0,5.0,3.0,4.0,4.0,14.0,13.0,5.0,5.0,3.0,44.0,3.0,13.0,10.0,4.0,3.0,5.0,38.0,8.0,10.0,16.0,18.0,6.0,9.0,10.0,17.0,31.0,10.0,12.0,6.0,-7.0,-4.0,-21.0,-6.0,-9.0,-1.0,,High,156,2024-02-28,27,25,No,No,Under review - Additional information required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0313,Training Services,Sales,Sarah Johnson,Team C,389785.3,116962.68,93543.83,104495.98,74782.82,Direct Purchase,Completed,Supplier-876,B+,79.9,2024-01-04,VP Operations,Yes,2024-02-28,2024-01-08,48,Project note for PR-2024-0313,3.0,8.0,24.0,9.0,10.0,5.0,3.0,3.0,8.0,24.0,9.0,10.0,5.0,59.0,8.0,12.0,30.0,10.0,15.0,5.0,80.0,11.0,7.0,22.0,9.0,6.0,7.0,10.0,7.0,26.0,14.0,11.0,9.0,-2.0,5.0,4.0,-4.0,4.0,-4.0,,Low,49,2024-02-25,14,31,No,Yes,Under review - Additional information required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0353,Software License Renewal,Operations,John Smith,Team B,86412.14,18264.78,24008.14,23095.05,21044.17,Direct Purchase,Under Review,Supplier-999,C+,38.6,2024-01-03,Director Procurement,Yes,2024-02-10,2024-01-05,71,Project note for PR-2024-0353,8.0,6.0,16.0,5.0,8.0,4.0,8.0,8.0,6.0,16.0,5.0,8.0,4.0,47.0,13.0,3.0,17.0,9.0,8.0,3.0,53.0,9.0,11.0,24.0,15.0,11.0,9.0,12.0,9.0,30.0,18.0,8.0,9.0,1.0,-6.0,-13.0,-9.0,0.0,-6.0,,High,144,2024-02-24,30,34,No,No,Under review - Additional information required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0357,Marketing Campaign,Legal,Sarah Johnson,Team A,204594.53,63039.08,66001.3,53111.9,22442.25,RFP,Approved,Supplier-277,C+,23.0,2024-01-02,CEO,No,2024-02-17,2024-01-11,92,Project note for PR-2024-0357,10.0,13.0,26.0,13.0,10.0,4.0,10.0,10.0,13.0,26.0,13.0,10.0,4.0,76.0,11.0,15.0,32.0,13.0,11.0,7.0,89.0,11.0,7.0,16.0,10.0,5.0,7.0,9.0,10.0,27.0,17.0,6.0,8.0,2.0,5.0,5.0,-4.0,5.0,-1.0,,Low,58,2024-02-19,7,31,Yes,Yes,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0361,Security Systems,HR,John Smith,Team F,358062.53,74151.59,71590.84,62639.08,149681.03,Tender,Cancelled,Supplier-730,A,49.1,2024-01-05,CFO,No,2024-03-06,2024-01-15,111,Project note for PR-2024-0361,10.0,10.0,23.0,9.0,4.0,4.0,10.0,10.0,10.0,23.0,9.0,4.0,4.0,60.0,15.0,16.0,29.0,12.0,6.0,6.0,84.0,7.0,10.0,23.0,14.0,6.0,5.0,9.0,14.0,28.0,7.0,6.0,3.0,6.0,2.0,1.0,5.0,0.0,3.0,,High,172,2024-01-28,29,23,Yes,Yes,Approved - Proceed as planned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0369,Marketing Campaign,Procurement,Mary Rodriguez,Team B,454150.25,93411.14,95561.22,81260.61,183917.28,Tender,Approved,Supplier-227,B,69.3,2024-01-05,COO,No,2024-02-24,2024-01-06,54,Project note for PR-2024-0369,7.0,9.0,10.0,14.0,9.0,5.0,7.0,7.0,9.0,10.0,14.0,9.0,5.0,54.0,6.0,13.0,20.0,13.0,9.0,6.0,67.0,5.0,15.0,32.0,18.0,5.0,9.0,12.0,20.0,32.0,9.0,6.0,7.0,-6.0,-7.0,-12.0,4.0,3.0,-1.0,,None,50,2024-02-13,13,33,Yes,Yes,Delayed - Resource allocation required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0373,Facility Maintenance,Procurement,David Wilson,Team E,298516.88,103404.96,73506.81,74302.89,47302.2,RFP,Pending,Supplier-672,A,30.2,2024-01-02,CFO,Yes,2024-02-12,2024-01-12,106,Project note for PR-2024-0373,8.0,12.0,10.0,9.0,10.0,3.0,8.0,8.0,12.0,10.0,9.0,10.0,3.0,52.0,12.0,13.0,10.0,13.0,9.0,3.0,60.0,6.0,9.0,16.0,10.0,9.0,6.0,12.0,12.0,22.0,13.0,10.0,9.0,0.0,1.0,-12.0,0.0,-1.0,-6.0,,High,166,2024-01-25,19,37,No,Yes,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0389,Hardware Procurement,Sales,Sarah Johnson,Team A,53309.26,12182.04,10341.4,9447.27,21338.55,Direct Purchase,Under Review,Supplier-106,A,42.5,2024-01-04,CEO,Yes,2024-04-02,2024-01-12,72,Project note for PR-2024-0389,10.0,10.0,28.0,7.0,4.0,3.0,10.0,10.0,10.0,28.0,7.0,4.0,3.0,62.0,14.0,11.0,28.0,11.0,2.0,3.0,69.0,8.0,13.0,20.0,7.0,7.0,10.0,10.0,12.0,31.0,9.0,6.0,7.0,4.0,-1.0,-3.0,2.0,-4.0,-4.0,,Medium,148,2024-02-20,5,42,Yes,Yes,On track - No action needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0489,Software License Renewal,Marketing,Sarah Johnson,Team F,361144.28,82582.7,74709.63,71929.46,131922.5,RFQ,Approved,Supplier-789,B,32.4,2024-01-05,Director Procurement,No,2024-03-15,2024-01-08,46,Project note for PR-2024-0489,10.0,12.0,24.0,12.0,6.0,3.0,10.0,10.0,12.0,24.0,12.0,6.0,3.0,67.0,9.0,15.0,20.0,16.0,10.0,4.0,74.0,12.0,7.0,29.0,7.0,8.0,8.0,5.0,10.0,27.0,7.0,10.0,8.0,4.0,5.0,-7.0,9.0,0.0,-4.0,,Medium,73,2024-02-26,21,45,No,Yes,On track - No action needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024,Q1,January,2024-Q1,2024-01-01,PR-2024-0499,Professional Services,Engineering,Jennifer Martinez,Team C,327049.94,84380.22,91153.75,104481.63,47034.34,Tender,Cancelled,Supplier-902,C+,81.0,2024-01-06,VP Finance,Yes,2024-03-25,2024-01-09,33,Project note for PR-2024-0499,10.0,5.0,22.0,11.0,3.0,2.0,10.0,10.0,5.0,22.0,11.0,3.0,2.0,53.0,8.0,9.0,21.0,12.0,8.0,2.0,60.0,7.0,13.0,32.0,16.0,8.0,6.0,9.0,18.0,31.0,17.0,11.0,7.0,-1.0,-9.0,-10.0,-5.0,-3.0,-5.0,,High,146,2024-01-21,12,42,No,Yes,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024,Q1,February,2024-Q1,2024-02-01,PR-2024-0029,Facility Maintenance,Marketing,Robert Taylor,Team D,319378.72,98772.96,85684.18,70387.38,64534.19,Direct Purchase,Approved,Supplier-175,C+,44.8,2024-02-05,CFO,No,2024-03-08,2024-02-06,77,Project note for PR-2024-0029,7.0,6.0,30.0,6.0,9.0,5.0,7.0,7.0,6.0,30.0,6.0,9.0,5.0,63.0,5.0,10.0,31.0,9.0,14.0,8.0,77.0,7.0,7.0,29.0,8.0,10.0,4.0,7.0,7.0,22.0,18.0,12.0,10.0,-2.0,3.0,9.0,-9.0,2.0,-2.0,,High,164,2024-03-20,24,25,No,No,Approved - Proceed as planned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024,Q1,February,2024-Q1,2024-02-01,PR-2024-0069,Professional Services,Marketing,Emily Davis,Team A,328975.1,94557.99,60048.25,54195.97,120172.88,RFQ,On Hold,Supplier-966,C+,22.7,2024-02-02,VP Operations,No,2024-03-23,2024-02-07,43,Project note for PR-2024-0069,4.0,10.0,15.0,11.0,5.0,7.0,4.0,4.0,10.0,15.0,11.0,5.0,7.0,52.0,3.0,15.0,12.0,14.0,10.0,6.0,60.0,11.0,17.0,20.0,16.0,11.0,5.0,5.0,8.0,25.0,10.0,8.0,9.0,-2.0,7.0,-13.0,4.0,2.0,-3.0,,Low,171,2024-04-03,28,37,No,No,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024,Q1,February,2024-Q1,2024-02-01,PR-2024-0087,Hardware Procurement,R&D,Sarah Johnson,Team B,106734.62,28404.12,36322.64,23634.0,18373.86,Spot Buy,Cancelled,Supplier-787,A+,72.4,2024-02-02,COO,Yes,2024-03-21,2024-02-12,38,Project note for PR-2024-0087,6.0,10.0,25.0,12.0,8.0,6.0,6.0,6.0,10.0,25.0,12.0,8.0,6.0,67.0,8.0,16.0,24.0,15.0,11.0,8.0,82.0,7.0,7.0,25.0,10.0,8.0,9.0,9.0,20.0,26.0,9.0,10.0,10.0,-1.0,-4.0,-2.0,6.0,1.0,-2.0,,Medium,148,2024-03-21,16,44,No,No,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024,Q1,February,2024-Q1,2024-02-01,PR-2024-0127,Hardware Procurement,Operations,John Smith,Team D,233530.45,43001.8,62634.85,73225.82,54667.98,RFQ,In Progress,Supplier-208,A+,29.1,2024-02-06,CEO,Yes,2024-04-27,2024-02-16,58,Project note for PR-2024-0127,4.0,8.0,23.0,10.0,9.0,4.0,4.0,4.0,8.0,23.0,10.0,9.0,4.0,58.0,3.0,15.0,22.0,13.0,10.0,3.0,66.0,7.0,12.0,17.0,8.0,9.0,5.0,11.0,9.0,26.0,15.0,7.0,10.0,-8.0,6.0,-4.0,-2.0,3.0,-7.0,,High,92,2024-04-03,6,24,Yes,No,On track - No action needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2024,Q1,February,2024-Q1,2024-02-01,PR-2024-0151,Cloud Services Subscription,IT,Emily Davis,Team B,490853.88,85604.03,110300.59,164843.31,130105.96,Tender,Under Review,Supplier-208,B,87.0,2024-02-03,COO,Yes,2024-03-05,2024-02-05,88,Project note for PR-2024-0151,10.0,12.0,30.0,9.0,3.0,4.0,10.0,10.0,12.0,30.0,9.0,3.0,4.0,68.0,8.0,19.0,39.0,12.0,3.0,4.0,85.0,5.0,19.0,35.0,11.0,10.0,3.0,6.0,15.0,34.0,13.0,6.0,9.0,2.0,4.0,5.0,-1.0,-3.0,-5.0,,High,95,2024-02-26,12,44,No,Yes,On track - No action needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2024,Q1,February,2024-Q1,2024-02-01,PR-2024-0259,Marketing Campaign,HR,Lisa Anderson,Team F,363358.28,108677.36,126893.26,83997.15,43790.52,RFQ,On Hold,Supplier-733,C,92.0,2024-02-04,CFO,No,2024-04-15,2024-02-07,105,Project note for PR-2024-0259,8.0,13.0,21.0,11.0,10.0,7.0,8.0,8.0,13.0,21.0,11.0,10.0,7.0,70.0,8.0,18.0,31.0,11.0,15.0,9.0,92.0,5.0,17.0,17.0,12.0,8.0,7.0,8.0,10.0,19.0,11.0,6.0,6.0,0.0,8.0,12.0,0.0,9.0,3.0,,Low,121,2024-03-19,19,38,Yes,Yes,Escalated - Priority project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2024,Q1,February,2024-Q1,2024-02-01,PR-2024-0263,Training Services,Operations,Mary Rodriguez,Team C,397550.78,85527.89,104156.1,75491.09,132375.7,Framework Agreement,Completed,Supplier-320,C+,69.4,2024-02-05,CFO,No,2024-04-29,2024-02-10,43,Project note for PR-2024-0263,4.0,8.0,15.0,10.0,10.0,7.0,4.0,4.0,8.0,15.0,10.0,10.0,7.0,54.0,9.0,5.0,22.0,15.0,11.0,8.0,70.0,11.0,7.0,18.0,7.0,10.0,7.0,10.0,14.0,24.0,8.0,12.0,5.0,-1.0,-9.0,-2.0,7.0,-1.0,3.0,,High,48,2024-03-11,29,43,No,Yes,Delayed - Resource allocation required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024,Q1,February,2024-Q1,2024-02-01,PR-2024-0277,Facility Maintenance,HR,Mary Rodriguez,Team B,435112.8,78135.83,124616.92,70959.31,161400.73,RFP,In Progress,Supplier-836,C,42.1,2024-02-04,VP Finance,Yes,2024-05-04,2024-02-05,106,Project note for PR-2024-0277,10.0,11.0,14.0,11.0,6.0,7.0,10.0,10.0,11.0,14.0,11.0,6.0,7.0,59.0,15.0,12.0,18.0,14.0,7.0,10.0,76.0,11.0,9.0,32.0,17.0,10.0,3.0,5.0,18.0,26.0,16.0,6.0,4.0,10.0,-6.0,-8.0,-2.0,1.0,6.0,,Low,46,2024-03-19,18,43,Yes,Yes,Approved - Proceed as planned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
